move,step,tick,forward_max,radial_max,tip_x,tip_y,tip_z
KingsSentence,0,0,0.4600,0.4870,0.0800,3.4200,-0.4000
KingsSentence,0,1,0.9510,0.9585,0.0800,3.1073,-0.9311
KingsSentence,0,2,1.5200,1.5247,0.0800,1.7100,-1.5200
KingsSentence,0,3,0.9235,0.9312,0.0800,0.3127,-0.9036
KingsSentence,0,4,0.4200,0.4494,0.0800,0.0000,-0.3600
ThreeTolls,1,0,1.3704,1.4172,-0.9429,1.8400,-1.0432
ThreeTolls,1,1,1.5127,1.5127,-0.6888,1.8400,-1.3386
ThreeTolls,1,2,1.4379,1.5674,-0.0237,1.8400,-1.5655
ThreeTolls,1,3,1.2144,1.5332,0.3518,1.8400,-1.4861
ThreeTolls,2,0,1.4177,1.5080,1.1011,1.8400,-1.0193
ThreeTolls,2,1,1.5528,1.5604,0.8457,1.8400,-1.3074
ThreeTolls,2,2,1.4644,1.5368,0.1773,1.8400,-1.5208
ThreeTolls,2,3,1.2335,1.4579,-0.2005,1.8400,-1.4343
ThreeTolls,3,0,1.3800,1.3852,0.0800,1.8300,-1.3800
ThreeTolls,3,1,1.5780,1.5825,0.0800,1.7860,-1.5780
ThreeTolls,3,2,1.7400,1.7441,0.0800,1.7500,-1.7400
ThreeTolls,3,3,1.7400,1.7441,0.0800,1.7500,-1.7400
