take,seconds,peak,manifest_cues,cues_below_floor,min_rise_db,onsets,unexplained_onsets
bite-combo,5.42,0.0840,6,0,-1.7,5,
burial,7.40,0.0946,10,0,-2.4,6,
cancel-late-replaced,5.00,0.1007,4,2,inf,2,
cancel-late-second-replaced,2.33,0.0563,3,0,-2.9,1,
charge,4.92,0.0839,18,0,-2.7,3,
claw-combo,5.82,0.0656,6,0,inf,4,
claws-13-blocks,5.82,0.0106,6,4,inf,0,
claws-25-blocks,5.82,0.0020,6,6,inf,0,
claws-muted,5.82,0.0000,6,6,inf,0,
edict-cancelled,3.85,0.1112,4,0,1.9,3,
edict,6.80,0.1112,8,0,0.4,5,
guardian-catalogue,17.36,0.1320,22,0,inf,19,
heavy-jaws,5.32,0.1125,3,0,inf,2,
jaws-open-room,2.00,0.0806,1,0,inf,0,
jaws-stone-wall,2.00,0.0449,1,1,inf,0,
king-catalogue,30.74,0.1651,30,2,inf,25,
leap,4.22,0.0598,4,0,4.1,2,
left-listener,2.00,0.0781,1,0,inf,0,
notice-mask-death,6.00,0.1470,3,0,inf,2,
notice-walk-phase-death,3.00,0.0994,20,0,-0.4,0,
party-four-bosses-eight-reference-voices,3.00,0.4268,5,0,inf,0,
requiem-13-blocks,7.30,0.0183,8,1,-0.6,4,
requiem-interrupted,4.00,0.0967,5,0,-0.5,3,
requiem,7.30,0.0990,8,0,-0.5,5,
right-listener,2.00,0.0781,1,0,inf,0,
sentence-stone-wall,4.35,0.0826,5,2,-1.6,2,
sentence,4.35,0.1007,5,2,-1.8,2,
single-claw,3.72,0.0656,3,0,inf,2,
spear,4.90,0.0653,3,1,inf,2,
three-tolls,7.40,0.1098,7,0,12.3,6,
tolls-13-blocks,7.40,0.0177,7,3,12.1,4,
tolls-25-blocks,7.40,0.0033,7,7,12.2,0,
tolls-muted,7.40,0.0000,7,7,inf,0,
