# linux/amd64, 16 logical CPUs, go1.26.6
scenario,ticks,mean_us,p50_us,p95_us,p99_us,max_us,tick_interval_us,p99_share_of_interval
guardian/party1/stage1,2400,12.5,11.0,18.7,51.3,158.3,50000.0,0.001
guardian/party4/stage1,2400,40.4,33.8,63.6,103.1,346.7,50000.0,0.002
guardian/party1/stage2,2400,11.3,9.2,15.0,51.5,206.6,50000.0,0.001
guardian/party4/stage2,2400,35.6,28.2,56.9,115.0,334.4,50000.0,0.002
king/party1/stage1,2401,14.8,12.5,26.3,39.1,319.7,50000.0,0.001
king/party4/stage1,2401,28.3,26.8,33.0,66.2,198.5,50000.0,0.001
king/party1/stage2,2401,9.8,8.6,10.0,28.9,257.7,50000.0,0.001
king/party4/stage2,2401,33.6,27.4,54.8,81.0,524.2,50000.0,0.002
king/party1/stage3,2401,12.5,9.2,16.1,22.3,450.8,50000.0,0.000
king/party4/stage3,2401,33.3,28.3,52.5,76.0,713.4,50000.0,0.002
cleared/party1,2400,5.7,5.3,6.5,10.8,115.4,50000.0,0.000
cleared/party4,2400,32.6,36.4,50.5,62.7,261.3,50000.0,0.001
