# kind min_x min_y min_z max_x max_y max_z; local metres, canonical North=-Z; all variants identical
BanquetTable	-0.700	0.860	-2.400	0.700	1.000	2.400
BanquetTable	-0.620	0.000	-2.240	-0.440	0.860	-2.060
BanquetTable	-0.620	0.000	2.060	-0.440	0.860	2.240
BanquetTable	0.440	0.000	-2.240	0.620	0.860	-2.060
BanquetTable	0.440	0.000	2.060	0.620	0.860	2.240
Chair	-0.350	0.420	-0.380	0.350	0.550	0.380
Chair	-0.350	0.550	0.280	0.350	1.250	0.400
Chair	-0.305	0.000	-0.325	-0.175	0.420	-0.195
Chair	-0.305	0.000	0.195	-0.175	0.420	0.325
Chair	0.175	0.000	-0.325	0.305	0.420	-0.195
Chair	0.175	0.000	0.195	0.305	0.420	0.325
Bench	-0.350	0.430	-1.800	0.350	0.560	1.800
Bench	-0.280	0.000	-1.400	0.280	0.430	-1.200
Bench	-0.280	0.000	1.200	0.280	0.430	1.400
Throne	-0.480	0.000	-0.400	0.480	0.500	0.400
Throne	-0.550	0.500	-0.480	0.550	0.650	0.480
Throne	-0.550	0.650	0.380	0.550	2.100	0.520
Throne	-0.650	0.650	-0.380	-0.500	0.950	0.500
Throne	0.500	0.650	-0.380	0.650	0.950	0.500
Bookcase	-0.900	0.000	-0.280	0.900	2.300	0.280
Desk	-0.900	0.860	-0.450	0.900	1.000	0.450
Desk	-0.800	0.000	-0.360	-0.640	0.860	-0.200
Desk	-0.800	0.000	0.200	-0.640	0.860	0.360
Desk	0.640	0.000	-0.360	0.800	0.860	-0.200
Desk	0.640	0.000	0.200	0.800	0.860	0.360
Counter	-0.650	0.000	-1.300	0.650	0.880	1.300
Counter	-0.700	0.880	-1.400	0.700	1.000	1.400
Barrel	-0.320	0.000	-0.320	0.320	0.200	0.320
Barrel	-0.400	0.200	-0.400	0.400	0.900	0.400
Barrel	-0.320	0.900	-0.320	0.320	1.100	0.320
EquipmentRack	-0.950	0.000	-0.250	-0.800	1.950	0.250
EquipmentRack	0.800	0.000	-0.250	0.950	1.950	0.250
EquipmentRack	-0.950	0.500	-0.180	0.950	0.650	0.180
EquipmentRack	-0.950	1.650	-0.180	0.950	1.800	0.180
CouncilTable	-1.200	0.860	-1.500	1.200	1.000	1.500
CouncilTable	-1.060	0.000	-1.340	-0.860	0.860	-1.140
CouncilTable	-1.060	0.000	1.140	-0.860	0.860	1.340
CouncilTable	0.860	0.000	-1.340	1.060	0.860	-1.140
CouncilTable	0.860	0.000	1.140	1.060	0.860	1.340
